video_id,comment_id,author_display_name,text,published_at,like_count,clean_text,word_count,is_spam
z9or_nYdBe8,UgylZlqAdK6vfF6Es5J4AaABAg,@ongv2491,The war is on to starve the innocent poor?  The rich will get richer,2025-04-15T21:36:33Z,0,war starve innocent poor rich get richer,7,0
z9or_nYdBe8,UgxlmUgC32MNJj23G1l4AaABAg,@ezydoesit1158,The cards are made in China 🇨🇳 US 🇺🇸 Trump got no card.,2025-04-15T21:35:22Z,0,cards made china us trump got card,7,0
z9or_nYdBe8,UgwGOuu7vslnGnGWSKx4AaABAg,@michellelee5538,"Palki, I’m DISAPPOINTED that you would even suggest China might not be telling the truth when it comes to manufacturing designer handbags. No country manufacturers more goods than China. Shame on You‼️",2025-04-15T21:35:19Z,18,palki ’ disappointed would even suggest china might telling truth comes manufacturing designer handbags country manufacturers goods china shame,19,0
z9or_nYdBe8,UgybqT08KZ_lKgpO5Ix4AaABAg,@biongrenn8010,"Should I stay in the US or go to a different country, like new zealand?",2025-04-15T21:34:32Z,0,stay us go different country like new zealand,8,0
z9or_nYdBe8,UgzwaJYqeSOsF4yFyul4AaABAg,@xosmani,If Americans love their country no way they from China. Even for free l not gonna accept something from China.,2025-04-15T21:34:19Z,0,americans love country way china even free l gon na accept something china,13,0
z9or_nYdBe8,UgyuG2N-Hfz765f65wR4AaABAg,@keyair123,The Americans should have banned tiktok long ago lol. letting a snake into the minds of your people. big mistake.,2025-04-15T21:34:10Z,0,americans banned tiktok long ago lol letting snake minds people big mistake,12,0
z9or_nYdBe8,UgxTOd1-ml2pqYtussB4AaABAg,@redemptionneeded,The fact that Xi is out and about in full force shows Trump is onto something,2025-04-15T21:33:40Z,0,fact xi full force shows trump onto something,8,0
z9or_nYdBe8,UgwWWpCp5PstSaUiR3J4AaABAg,@umeshbhattarai2992,"CIA / MI6 /USAID  and George  Soros  funded this media for spreading propaganda News .If Chinese say the retail value of anything, That is true because same factory they are making why we need to buy with logo ? Just for we show our standers in our community ? Think 100 times we purchase anything",2025-04-15T21:33:09Z,0,cia mi usaid george soros funded media spreading propaganda news chinese say retail value anything true factory making need buy logo show standers community think times purchase anything,28,0
z9or_nYdBe8,UgwvdVCwQ6Z6K2xcLOt4AaABAg,@MAGABABS,"Stop your Han EXPANSIONIST propaganda…Mao zedong was a Serial rapist and a dirty man who was a puppet of Henry Wallace the western colonizer…Mao is a Western puppet and Communism is a Western 🐖 piglet belief…

Telll Mao China to stop killing Tibetans in genocide…stop Uighur Genocide..Stop Mongolian Genocide…Stop Cantonese genocide…free Tibet, Xinjiang, canton, Mongolia, Formosa, canton and Hong Kong forever!

Kuomintang is the party of Dr Shunyat Shen…Kuomintang forever!!!",2025-04-15T21:33:09Z,0,stop han expansionist propaganda…mao zedong serial rapist dirty man puppet henry wallace western colonizer…mao western puppet communism western piglet belief… telll mao china stop killing tibetans genocide…stop uighur genocidestop mongolian genocide…stop cantonese genocide…free tibet xinjiang canton mongolia formosa canton hong kong forever kuomintang party dr shunyat shen…kuomintang forever,48,0
z9or_nYdBe8,UgzKLHYehd0OzmESABB4AaABAg,@Optimistix28,You can't fight Shina unless you ban tiktok,2025-04-15T21:32:19Z,1,cant fight shina unless ban tiktok,6,0
